"id" "time" "iEMG" "SelfReport"
1 27.8 4.230945 0.9998468
1 28 4.72339 0.9998321
1 28.2 4.87536 0.9997957
1 28.4 4.919177 0.9997721
1 28.6 4.77203 0.9997848
1 28.8 4.829346 0.9998358
1 29 4.875126 0.9997703
1 29.2 4.962207 0.999794
1 29.4 4.655706 0.9998304
1 29.6 4.947862 0.999794
1 29.8 4.614152 0.9998322
1 30 4.735596 0.9997939
1 30.2 4.350156 0.9998432
1 30.4 4.783818 0.9998286
1 30.6 4.475804 0.9998048
1 30.8 4.746504 0.999803
1 31 4.615836 0.9998231
1 31.2 4.769122 0.9998121
1 31.4 5.125674 0.9998376
1 31.6 4.784996 0.9998303
1 31.8 4.937555 0.9998267
1 32 4.849272 0.9998212
1 32.2 4.996105 0.9998414
1 32.4 4.438504 0.999843
1 32.6 4.619766 0.9998249
1 32.8 4.570926 0.9998594
1 33 4.33755 0.9998048
1 33.2 5.466777 0.9998049
1 33.4 4.740327 0.9997885
1 33.6 5.605723 0.999803
1 33.8 5.527369 0.9997884
1 34 4.417378 0.9997448
1 34.2 4.221185 0.999814
1 34.4 4.719449 0.9998177
1 34.6 3.612376 0.999843
1 34.8 4.182451 0.999843
1 35 5.178864 0.9998321
1 35.2 5.275546 0.9998378
1 35.4 4.258031 0.9997593
1 35.6 4.884274 0.999863
1 35.8 4.562833 0.9998484
1 36 4.6375 0.9998412
1 36.2 5.056408 0.9997886
1 36.4 4.761681 0.9998193
1 36.6 4.501573 0.9998122
1 36.8 4.712343 0.9998176
1 37 4.786932 0.9998394
1 37.2 4.303527 0.9997902
1 37.4 4.058196 0.999814
1 37.6 4.905725 0.9998522
1 37.8 4.741606 0.9998103
1 38 4.352725 0.9998395
1 38.2 4.317166 0.9997993
1 38.4 4.392333 0.9998523
1 38.6 4.008952 0.9998158
1 38.8 4.150346 0.9998322
1 39 4.271823 0.9998013
1 39.2 4.581155 0.9998631
1 39.4 4.659662 0.9998412
1 39.6 4.930013 0.999834
1 39.8 4.631598 0.9998177
1 40 4.499567 0.9998502
1 40.2 4.473741 0.9999378
1 40.4 3.906051 0.9998085
1 40.6 4.288768 0.9998724
1 40.8 4.217719 0.9998486
1 41 4.439101 0.999772
1 41.2 3.677496 0.9998212
1 41.4 3.566966 0.999812
1 41.6 4.227831 0.9997847
1 41.8 4.616528 0.999814
1 42 4.089351 0.9998304
1 42.2 4.996115 0.999865
1 42.4 4.758223 0.9998358
1 42.6 4.941119 0.9998304
1 42.8 5.118352 0.9998413
1 43 4.207364 0.9998359
1 43.2 4.24727 0.9998304
1 43.4 4.337479 0.9998413
1 43.6 5.246179 0.9998011
1 43.8 4.09046 0.9998177
1 44 4.631277 0.999823
1 44.2 5.136441 0.999865
1 44.4 3.892345 0.999854
1 44.6 4.464221 0.9997902
1 44.8 4.374968 1.139576
1 45 4.640198 1.845373
1 45.2 5.202021 2.404028
1 45.4 4.373357 2.489499
1 45.6 4.017094 2.489514
1 45.8 4.737964 2.48951
1 46 5.302417 2.489539
1 46.2 4.513674 2.489547
1 46.4 4.494216 2.489503
1 46.6 4.596495 2.489464
1 46.8 4.689139 2.489532
1 47 4.719981 2.489443
1 47.2 4.347434 2.489456
1 47.4 4.781897 2.489512
1 47.6 4.584227 2.489465
1 47.8 4.661007 2.489537
1 48 5.160005 2.489501
1 48.2 4.644643 2.489333
1 48.4 4.841284 2.489488
1 48.6 4.770097 2.489532
1 48.8 4.196019 2.489474
1 49 4.688103 2.489512
1 49.2 4.777535 2.489501
1 49.4 4.410805 2.489521
1 49.6 4.247342 2.489551
1 49.8 4.685909 2.489479
1 50 4.338823 2.489537
1 50.2 4.402371 2.492824
1 50.4 4.839738 2.670812
1 50.6 4.610842 2.872981
1 50.8 4.630162 3.015837
1 51 5.801875 3.024697
1 51.2 5.350991 3.024723
1 51.4 5.071935 3.024706
1 51.6 4.932939 3.024604
1 51.8 4.313379 3.024626
1 52 4.223021 3.024726
1 52.2 4.042134 3.024622
1 52.4 4.494403 3.024755
1 52.6 4.341792 3.024695
1 52.8 5.059308 3.024577
1 53 4.882629 3.024724
1 53.2 4.789652 3.024788
1 53.4 4.373647 3.024691
1 53.6 4.651958 3.024754
1 53.8 4.770693 3.024059
1 54 4.087164 3.023149
1 54.2 4.384601 3.023216
1 54.4 4.605783 3.023191
1 54.6 5.085004 3.023437
1 54.8 4.840486 3.023484
1 55 4.62794 3.024011
1 55.2 4.756791 3.024816
1 55.4 4.386138 3.025027
1 55.6 4.31856 3.024971
1 55.8 4.982014 3.024305
1 56 4.716435 2.905069
1 56.2 4.743768 2.466443
1 56.4 5.05936 2.002263
1 56.6 5.02909 1.657711
1 56.8 4.569136 1.52787
1 57 5.076094 1.52848
1 57.2 4.300604 1.528516
1 57.4 4.515066 1.52858
1 57.6 4.485819 1.528503
1 57.8 4.484139 1.528532
1 58 4.330882 1.528545
1 58.2 5.082393 1.52854
1 58.4 5.008638 1.528496
1 58.6 4.272812 1.5285
1 58.8 4.541107 1.528516
1 59 4.506118 1.528595
1 59.2 4.490788 1.528582
1 59.4 4.222327 1.528279
1 59.6 4.452055 1.528069
1 59.8 3.87207 1.527903
1 60 4.61575 1.527668
1 60.2 4.769346 1.527689
1 60.4 4.496668 1.527432
1 60.6 4.926772 1.525846
1 60.8 4.243879 1.523823
1 61 4.615411 1.524586
1 61.2 4.198847 1.524409
1 61.4 5.047199 1.524329
1 61.6 4.568046 1.524056
1 61.8 4.54187 1.523543
1 62 4.518069 1.520858
1 62.2 4.152499 1.520818
1 62.4 4.359487 1.520854
1 62.6 4.151121 1.520541
1 62.8 4.401177 1.518438
1 63 4.819061 1.518211
1 63.2 4.883064 1.518193
1 63.4 4.020755 1.518171
1 63.6 4.119627 1.518111
1 63.8 4.309392 1.518154
1 64 4.610892 1.518101
1 64.2 4.896037 1.517976
1 64.4 4.969536 1.518317
1 64.6 4.63108 1.519268
1 64.8 4.959215 1.519235
1 65 4.160249 1.519231
1 65.2 4.86139 1.519162
1 65.4 4.63597 1.519133
1 65.6 4.357811 1.519129
1 65.8 5.027479 1.519113
1 66 4.509326 1.519188
1 66.2 4.568562 1.519167
1 66.4 4.315506 1.51914
1 66.6 4.759106 1.519166
1 66.8 5.032636 1.519126
1 67 5.125146 1.51843
1 67.2 4.676741 1.51699
1 67.4 4.956857 1.516908
1 67.6 4.579924 1.516779
1 67.8 4.457957 1.516463
1 68 4.24879 1.470986
1 68.2 4.229306 1.381177
1 68.4 4.881021 1.371287
1 68.6 4.663249 1.370131
1 68.8 4.260948 1.370004
1 69 4.778953 1.369957
1 69.2 4.397571 1.38868
1 69.4 4.073131 1.624788
1 69.6 4.181242 2.131442
1 69.8 5.057104 2.719914
1 70 4.281434 3.164796
1 70.2 4.2838 3.265141
1 70.4 5.518266 3.300108
1 70.6 5.404074 3.352744
1 70.8 4.080673 3.353239
1 71 4.323134 3.353167
1 71.2 4.482356 3.353205
1 71.4 5.519402 3.353312
1 71.6 4.106674 3.353843
1 71.8 4.433182 3.35463
1 72 4.054088 3.354772
1 72.2 5.382664 3.354663
1 72.4 4.356291 3.354426
1 72.6 4.548149 3.354798
1 72.8 4.576335 3.354749
1 73 4.217114 3.354772
1 73.2 4.479071 3.354709
1 73.4 4.713243 3.35486
1 73.6 4.755634 3.354792
1 73.8 4.484845 3.354848
1 74 4.266557 3.354801
1 74.2 3.993712 3.354722
1 74.4 4.593644 3.354712
1 74.6 4.402056 3.354771
1 74.8 4.345897 3.354769
1 75 4.461449 3.354743
1 75.2 4.006405 3.354727
1 75.4 4.095056 3.354751
1 75.6 4.790151 3.354791
1 75.8 4.736633 3.354836
1 76 4.444536 3.354865
1 76.2 4.572586 3.357683
1 76.4 4.077144 3.396237
1 76.6 5.741417 3.509266
1 76.8 4.607588 3.722005
1 77 4.694713 3.847121
1 77.2 4.594299 3.849754
1 77.4 4.702686 3.849708
1 77.6 4.514079 3.849893
1 77.8 4.626245 3.849856
1 78 4.858228 3.849706
1 78.2 5.527255 3.849358
1 78.4 4.321977 3.848939
1 78.6 4.419747 3.849216
1 78.8 5.296983 3.849406
1 79 4.671764 3.849424
1 79.2 4.456293 3.849314
1 79.4 4.574963 3.849411
1 79.6 4.582448 3.849313
1 79.8 4.176683 3.849253
1 80 4.770831 3.848761
1 80.2 5.192385 3.848735
1 80.4 4.756398 3.848804
1 80.6 5.221783 3.84833
1 80.8 6.028082 3.632045
1 81 5.171529 3.064198
1 81.2 4.784176 2.648549
1 81.4 4.553977 2.223349
1 81.6 4.38598 2.174827
1 81.8 4.732172 2.097325
1 82 4.582721 2.054754
1 82.2 5.471847 1.95487
1 82.4 3.920622 1.93457
1 82.6 4.792967 1.886637
1 82.8 4.786467 1.846282
1 83 4.929254 1.774955
1 83.2 4.923505 1.697038
1 83.4 4.413252 1.696737
1 83.6 4.875882 1.696788
1 83.8 4.977234 1.696737
1 84 4.798552 1.69663
1 84.2 4.041249 1.696482
1 84.4 5.404579 1.696431
1 84.6 5.055139 1.696295
1 84.8 4.255544 1.696385
1 85 4.4118 1.696363
1 85.2 4.931953 1.696416
1 85.4 4.667517 1.696272
1 85.6 6.039374 1.696254
1 85.8 4.437392 1.696174
1 86 4.904126 1.696152
1 86.2 4.012617 1.696143
1 86.4 3.944588 1.640207
1 86.6 3.663521 1.290982
1 86.8 3.653296 1.028881
1 87 6.319374 0.9998121
1 87.2 4.32583 0.9998394
1 87.4 4.828836 0.9998358
1 87.6 4.558588 0.9998521
1 87.8 4.627329 0.9998467
1 88 4.393074 0.9998322
1 88.2 4.432327 0.9998393
1 88.4 4.172206 0.9998558
1 88.6 4.711029 0.9998503
1 88.8 4.370432 0.9999014
1 89 4.937752 0.9997757
1 89.2 4.657391 0.999845
1 89.4 4.37186 0.9998523
1 89.6 4.172351 0.9998759
1 89.8 4.158545 0.9998887
1 90 5.020427 0.9998595
1 90.2 4.391849 0.9997885
1 90.4 4.511273 0.9998358
1 90.6 4.779023 0.9998868
1 90.8 4.750661 0.9998631
1 91 5.159061 0.9998522
1 91.2 4.324258 0.9997958
1 91.4 4.881536 0.999854
1 91.6 4.553392 0.9998721
1 91.8 4.302553 0.9998777
1 92 4.578369 0.9998612
1 92.2 5.278436 0.9998357
1 92.4 4.667579 0.9998577
1 92.6 4.367815 0.9998723
1 92.8 4.616867 0.9997885
1 93 4.198019 0.9998593
1 93.2 4.366016 0.999894
1 93.4 4.229458 0.9998668
1 93.6 4.606981 0.999874
1 93.8 4.583116 0.9998667
1 94 4.464852 0.9998704
1 94.2 5.514468 0.999845
1 94.4 4.493947 0.999834
1 94.6 4.892911 0.9998302
1 94.8 5.033323 1.371855
1 95 5.087872 2.244998
1 95.2 4.457903 2.395878
1 95.4 4.454371 2.395712
1 95.6 5.454503 2.395825
1 95.8 4.048912 2.39588
1 96 4.486711 2.39598
1 96.2 4.950086 2.395924
1 96.4 5.640704 2.395798
1 96.6 5.468707 2.395192
1 96.8 4.810083 2.395517
1 97 4.835747 2.395555
1 97.2 4.990215 2.395632
1 97.4 4.336501 2.39559
1 97.6 4.567756 2.395557
1 97.8 4.748837 2.395522
1 98 4.415864 2.395575
1 98.2 4.530802 2.395659
1 98.4 4.915885 2.395683
1 98.6 5.686853 2.395601
1 98.8 4.979071 2.395528
1 99 6.123764 2.401675
1 99.2 5.866097 2.634173
1 99.4 5.590489 3.154316
1 99.6 6.585537 3.712441
1 99.8 6.410064 4.0777
1 100 5.962397 4.327642
1 100.2 5.877001 4.343634
1 100.4 6.319018 4.343413
1 100.6 6.632993 4.343463
1 100.8 7.44028 4.343705
1 101 5.925356 4.341806
1 101.2 5.987849 4.330282
1 101.4 6.672612 4.288973
1 101.6 6.351187 4.240781
1 101.8 6.1295 4.239339
1 102 6.077426 4.239435
1 102.2 6.740312 4.239417
1 102.4 7.240507 4.238517
1 102.6 6.009143 4.237218
1 102.8 6.427276 4.237413
1 103 6.331461 4.237428
1 103.2 6.084973 4.23762
1 103.4 6.953812 4.237636
1 103.6 7.224055 4.237512
1 103.8 6.490506 4.237565
1 104 6.112938 4.239729
1 104.2 6.222862 4.240037
1 104.4 5.647676 4.239488
1 104.6 6.178447 4.179315
1 104.8 5.135861 3.875112
1 105 5.086182 3.295616
1 105.2 4.906762 2.808318
1 105.4 5.164 2.693314
1 105.6 5.506062 2.689018
1 105.8 5.400871 2.681748
1 106 5.397303 2.680947
1 106.2 6.182046 2.678602
1 106.4 5.419568 2.672767
1 106.6 5.255205 2.546921
1 106.8 6.481131 2.34214
1 107 7.348242 2.289604
1 107.2 6.460475 2.289803
1 107.4 5.498948 2.275971
1 107.6 6.539892 2.166646
1 107.8 7.103325 1.937574
1 108 6.295833 1.937076
1 108.2 5.685316 1.938103
1 108.4 6.24648 1.939355
1 108.6 6.120662 1.939361
1 108.8 5.560945 1.938249
1 109 5.917545 1.937466
1 109.2 6.343495 1.937377
1 109.4 6.065306 1.93733
1 109.6 6.136279 1.938757
1 109.8 5.573817 1.939401
1 110 6.257542 1.939523
1 110.2 6.080328 1.939552
1 110.4 4.912196 1.939592
1 110.6 4.939551 1.939609
1 110.8 5.667275 1.93951
1 111 5.88573 1.939466
1 111.2 5.398102 1.939415
1 111.4 5.193898 1.939439
1 111.6 5.372447 1.939503
1 111.8 6.689278 1.939957
1 112 5.987863 1.946246
1 112.2 6.599219 2.140591
1 112.4 6.00669 2.238306
1 112.6 6.040293 2.327131
1 112.8 6.410533 2.845477
1 113 7.1124 3.191648
1 113.2 6.252064 3.564031
1 113.4 6.021446 3.614648
1 113.6 5.499643 3.614632
1 113.8 6.736629 3.614487
1 114 6.644124 3.614174
1 114.2 5.676703 3.614057
1 114.4 6.786719 3.614178
1 114.6 6.215588 3.610736
1 114.8 8.165324 3.606515
1 115 6.534804 3.606471
1 115.2 6.571617 3.606307
1 115.4 6.308086 3.606373
1 115.6 5.627991 3.606155
1 115.8 6.408728 3.606039
1 116 6.030003 3.606331
1 116.2 6.109122 3.606336
1 116.4 5.650139 3.606296
1 116.6 7.81624 3.643974
1 116.8 7.363151 4.027756
1 117 7.108488 4.281852
1 117.2 6.647877 4.504652
1 117.4 6.934798 4.734229
1 117.6 8.513472 4.900431
1 117.8 7.428517 5.023182
1 118 8.376042 5.09873
1 118.2 7.583238 5.141785
1 118.4 6.962974 5.192983
1 118.6 7.347282 5.195768
1 118.8 8.049526 5.196596
1 119 8.05998 5.222474
1 119.2 7.663672 5.229575
1 119.4 7.752958 5.22984
1 119.6 8.18896 5.22983
1 119.8 8.680321 5.229873
1 120 8.935687 5.229615
1 120.2 8.040147 5.229819
1 120.4 6.923145 5.229764
1 120.6 10.25772 5.22981
1 120.8 10.86985 5.229336
1 121 9.431787 5.229945
1 121.2 8.060865 5.22992
1 121.4 8.874423 5.229961
1 121.6 10.34312 5.229799
1 121.8 8.57701 5.229714
1 122 7.537102 5.22977
1 122.2 7.8926 5.229892
1 122.4 7.437892 5.230034
1 122.6 7.382587 5.229821
1 122.8 6.997952 5.138912
1 123 6.763508 4.86837
1 123.2 5.461447 4.505382
1 123.4 5.349835 3.927405
1 123.6 8.225026 3.577142
1 123.8 6.438531 3.271344
1 124 5.930008 3.088222
1 124.2 6.135045 3.08126
1 124.4 5.130867 3.105525
1 124.6 5.690797 3.163315
1 124.8 5.743922 3.181418
1 125 7.831177 3.181048
1 125.2 6.855762 3.178128
1 125.4 6.218687 3.176892
1 125.6 5.802281 3.177149
1 125.8 5.648891 3.177032
1 126 5.342084 3.176464
1 126.2 5.897173 3.175683
1 126.4 5.247675 3.175513
1 126.6 5.028661 3.175422
1 126.8 5.976458 3.174955
1 127 6.242607 3.175115
1 127.2 4.775267 3.174904
1 127.4 4.844212 3.174877
1 127.6 4.90192 3.174928
1 127.8 5.179135 3.174765
1 128 4.358424 3.174904
1 128.2 4.737271 3.174973
1 128.4 5.039522 3.17493
1 128.6 4.769621 3.174119
1 128.8 4.06191 3.164898
1 129 4.722673 2.357323
1 129.2 4.955815 1.127507
1 129.4 5.077682 0.9998067
1 129.6 4.534866 0.999803
1 129.8 4.896097 0.999783
1 130 5.414139 0.9998049
1 130.2 5.168614 0.9998102
1 130.4 4.697786 0.9998376
1 130.6 5.285419 0.9997812
1 130.8 5.065352 0.9998122
1 131 5.370775 0.9997995
1 131.2 6.47481 0.9998086
1 131.4 5.423737 0.9997648
1 131.6 5.185933 0.9997884
1 131.8 4.955175 0.9998558
1 132 4.411803 0.9998195
1 132.2 4.757017 0.9998376
1 132.4 4.140913 0.999852
1 132.6 5.081926 0.9998468
1 132.8 5.92483 0.9998631
1 133 4.963934 0.9998212
1 133.2 5.624237 0.9998431
1 133.4 5.284093 0.9998084
1 133.6 4.992352 0.9998158
1 133.8 5.23229 0.9998066
1 134 5.25033 0.999763
1 134.2 4.57783 0.9998686
1 134.4 4.731006 0.9998267
1 134.6 4.735211 0.9998576
1 134.8 6.108241 0.999814
1 135 4.847945 0.9998139
1 135.2 4.967395 0.9998085
1 135.4 4.75158 0.9998504
1 135.6 5.296756 0.9998085
1 135.8 6.036989 0.999823
1 136 4.965339 0.9998504
1 136.2 5.655377 0.9998812
1 136.4 5.069475 0.9998085
1 136.6 6.45575 0.9998503
1 136.8 7.070949 0.9998486
1 137 6.64687 0.9998522
1 137.2 5.352766 0.999834
1 137.4 4.980506 0.999823
1 137.6 5.24222 0.9998505
1 137.8 5.551317 0.9998213
1 138 5.305009 0.9998413
1 138.2 4.916071 0.9998868
1 138.4 5.26496 0.9998668
1 138.6 5.288104 0.9998576
1 138.8 5.451671 0.9998403
